Temperature - (Celsius), Year, Statistics, Country, ISO3
-13.0, 2000, Sep Average, Greenland, GRL
-19.1, 2000, Oct Average, Greenland, GRL
-23.8, 2000, Nov Average, Greenland, GRL
-26.1, 2000, Dec Average, Greenland, GRL
-24.7, 2001, Jan Average, Greenland, GRL
-27.2, 2001, Feb Average, Greenland, GRL
-29.4, 2001, Mar Average, Greenland, GRL
-23.2, 2001, Apr Average, Greenland, GRL
-13.6, 2001, May Average, Greenland, GRL
-6.1, 2001, Jun Average, Greenland, GRL
-2.9, 2001, Jul Average, Greenland, GRL
-4.8, 2001, Aug Average, Greenland, GRL
-11.8, 2001, Sep Average, Greenland, GRL
-18.4, 2001, Oct Average, Greenland, GRL
-24.1, 2001, Nov Average, Greenland, GRL
-22.7, 2001, Dec Average, Greenland, GRL
-24.3, 2002, Jan Average, Greenland, GRL
-29.4, 2002, Feb Average, Greenland, GRL
-29.0, 2002, Mar Average, Greenland, GRL
-22.9, 2002, Apr Average, Greenland, GRL
-12.6, 2002, May Average, Greenland, GRL
-5.1, 2002, Jun Average, Greenland, GRL
-2.9, 2002, Jul Average, Greenland, GRL
-4.7, 2002, Aug Average, Greenland, GRL
-11.4, 2002, Sep Average, Greenland, GRL
-16.7, 2002, Oct Average, Greenland, GRL
-22.2, 2002, Nov Average, Greenland, GRL
-21.9, 2002, Dec Average, Greenland, GRL
-23.6, 2003, Jan Average, Greenland, GRL
-25.8, 2003, Feb Average, Greenland, GRL
-28.3, 2003, Mar Average, Greenland, GRL
-21.7, 2003, Apr Average, Greenland, GRL
-12.7, 2003, May Average, Greenland, GRL
-5.4, 2003, Jun Average, Greenland, GRL
-1.5, 2003, Jul Average, Greenland, GRL
-4.0, 2003, Aug Average, Greenland, GRL
-11.1, 2003, Sep Average, Greenland, GRL
-17.4, 2003, Oct Average, Greenland, GRL
-23.1, 2003, Nov Average, Greenland, GRL
-25.4, 2003, Dec Average, Greenland, GRL
-24.9, 2004, Jan Average, Greenland, GRL
-26.1, 2004, Feb Average, Greenland, GRL
-27.9, 2004, Mar Average, Greenland, GRL
-19.8, 2004, Apr Average, Greenland, GRL
-12.3, 2004, May Average, Greenland, GRL
-5.8, 2004, Jun Average, Greenland, GRL
-2.9, 2004, Jul Average, Greenland, GRL
-4.7, 2004, Aug Average, Greenland, GRL
-12.5, 2004, Sep Average, Greenland, GRL
-18.4, 2004, Oct Average, Greenland, GRL
-24.6, 2004, Nov Average, Greenland, GRL
-26.8, 2004, Dec Average, Greenland, GRL
-23.1, 2005, Jan Average, Greenland, GRL
-22.3, 2005, Feb Average, Greenland, GRL
-25.5, 2005, Mar Average, Greenland, GRL
-20.9, 2005, Apr Average, Greenland, GRL
-11.6, 2005, May Average, Greenland, GRL
-5.1, 2005, Jun Average, Greenland, GRL
-2.2, 2005, Jul Average, Greenland, GRL
-5.4, 2005, Aug Average, Greenland, GRL
-12.9, 2005, Sep Average, Greenland, GRL
-19.8, 2005, Oct Average, Greenland, GRL
-22.7, 2005, Nov Average, Greenland, GRL
-23.3, 2005, Dec Average, Greenland, GRL
-22.6, 2006, Jan Average, Greenland, GRL
-25.5, 2006, Feb Average, Greenland, GRL
-26.5, 2006, Mar Average, Greenland, GRL
-21.1, 2006, Apr Average, Greenland, GRL
-11.5, 2006, May Average, Greenland, GRL
-6.5, 2006, Jun Average, Greenland, GRL
-2.6, 2006, Jul Average, Greenland, GRL
-5.3, 2006, Aug Average, Greenland, GRL
-11.5, 2006, Sep Average, Greenland, GRL
-19.4, 2006, Oct Average, Greenland, GRL
-23.5, 2006, Nov Average, Greenland, GRL
-25.1, 2006, Dec Average, Greenland, GRL
-24.5, 2007, Jan Average, Greenland, GRL
-24.3, 2007, Feb Average, Greenland, GRL
-27.5, 2007, Mar Average, Greenland, GRL
-20.5, 2007, Apr Average, Greenland, GRL
-13.7, 2007, May Average, Greenland, GRL
-5.4, 2007, Jun Average, Greenland, GRL
-2.2, 2007, Jul Average, Greenland, GRL
-4.4, 2007, Aug Average, Greenland, GRL
-12.6, 2007, Sep Average, Greenland, GRL
-18.8, 2007, Oct Average, Greenland, GRL
-23.3, 2007, Nov Average, Greenland, GRL
-25.3, 2007, Dec Average, Greenland, GRL
-26.2, 2008, Jan Average, Greenland, GRL
-24.7, 2008, Feb Average, Greenland, GRL
-29.0, 2008, Mar Average, Greenland, GRL
-22.3, 2008, Apr Average, Greenland, GRL
